YouTube,status,name,co-speaker,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Dave McAllister,,,,NGINX,Dave McAllister.png,https://www.linkedin.com/in/davemc/,,@dwmcallister,,The Subtle Art of Lying with Statistics,"Lies, damned lies and statistics. But statistics allow you to lie to yourself. Statistics can trick us into believing things that are less than true, though not on purpose. Learn how data choice, event focus and scale change perspective.  See how graphs mislead and correlation can cause confusion.",,"Currently providing technical evangelism for NGINX, Dave works with DevOps, developers and architects to understand the advantages of modern microservice architectures and orchestration to solve large-scale distributed systems challenges, especially with open  source and  its innovation. Dave has been a champion for open systems and open source from the early days of Linux, through open distributed file systems like XFS, GFS, and GlusterFS to today's world of clouds and containers. He often speaks on topics such as the real-world issues associated with emerging software architectures and practices, on open source software and on creating new technology companies. 

Dave has spoken on technical topics like distributed request tracing, modern monitoring practices, open sources projects from both corporations and foundation views, and  on how open source innovations powers todays world.

Dave was named as one of the top ten pioneers in open source by Computer Business Review, having cut his teeth on Linux and compilers before the phrase ""open source"" was coined. Well versed in trivia, he won a Golden Penguin in 2002.  When he's not  talking, you can find him hiking with his trusty camera, trying to keep up with his wife.
"
,confirmed,Diana Todea,,,,Elastic,Diana Todea.png,https://www.linkedin.com/in/diana-todea-b2a79968/,,,,Generative AI: bliss or miss?,We all have been mesmerised by GenAI's powers. How does GenAI blend in the SRE context? Would it be a pillar to a stronger SRE type? A new GenAI+SRE genetics? Well it might be just a fantasy until we actually practice with it and apply it in the real world.,,"Diana is a Site Reliability Engineer at Elastic and she focuses on Observability. She is passionate about serverless, generative AI and machine learning."
,confirmed,Erwin de Keijzer,,,,Fullstaq,Erwin de Keijzer.png,https://www.linkedin.com/in/erwindekeijzer/,,,,"A deep dive into Perses, the GitOps Native dashboard visualization tool","Perses is to Prometheus as what Grafana was for graphite. And even though Grafana has become so much more, Perses is an extremely interesting new entry into the dashboad/visualisation space. This talk will have an up to date demo and some of the unique advantages Perses offers over alternatives.",,"Erwin is a DevOps Engineer at Fullstaq. He loves educating people what it means to build cloud native applications (and it’s not just using the “cloud”). Using the Cloud Native landscape to make application delivery and lifecycle simple and reliable. At home he is always looking for sidequests; monitoring his power usage to send notifications when his washing machine is done, connecting the garage door to the internet (securely) and adding music to his elevator are just a few examples. His experience makes him a very practical engineer, finding the simple solution is more important than having a modern, shiny solution."
,confirmed,George Lestaris,,,,Google,George Lestaris.png,https://www.linkedin.com/in/glestaris/?originalSubdomain=uk,,,,How Google SRE and developers work together,"SRE are Google's specialists for designing, building, and running complex services that are reliable, scalable, efficient, and maintainable. The SRE Engagement Model describes how the collaboration between developers and SREs works and how reliability engineering can be applied early in development.",,"George is a Site Reliability Engineer (SRE) currently working as a technical lead for the Google Ads SRE team in London, UK. With a background in software engineering and product management, he is passionate about understanding all aspects of tech product development and developer productivity.

Prior to joining Google, George gained valuable experience through his work at CERN, Pivotal, and startups, where he gained expertise in virtualization, Cloud Foundry PaaS, on-prem Kubernetes, and Python app development. He has also had the opportunity to share his knowledge at conferences such as PyCon UK, Cloud Foundry Summits, Open Source Summits, and computing for high-energy physics conferences (CHEP)."
,confirmed,Harel Safra,,,,Riskified,Harel Safra.png,https://www.linkedin.com/in/harelsafra/,,,,When Infrastructure as Code Ends - Jump in and Create Some More,"Adding new functionality to Terraform can be daunting: it’s written only in Go (which you may not know) and you have to understand the architecture and work through less than welcoming documentation. I’ll provide a walkthrough from my experience with it, going from zero to publishing a provider.",,"Harel Safra is a Data Platform Engineering Team Lead at Riskified, a Fintech company focusing on fraud prevention. His team manages the online data platform supporting real time fraud detection systems.
He has worked in various Data And Infrastructure roles throughout his career, always striving for simpler ways to achieve scalable, optimally performing systems
"
,confirmed,Jorge Luis Castro Toribio,,,,NTT DATA,Jorge Luis Castro Toribio.png,https://www.linkedin.com/in/jorgeluiscastrotoribio/,,,,Navigating the Path to Reliability: Crafting an SRE Roadmap for Enterprise Success,"If you need to define a road map to build more reliable products through SRE building ways of workign adoption, you need to make an strategy to have a solid why and a road map to reah outcomes itertively while you follow SRE road map adoption at your company, in this talk we share a real experience",,"Jorge is an agilist, Agility & Digital Transformation Lead Coach, QA Manager, DevOps Program Manager, and global speaker who feels passion for Testing Automation, Agile, DevOps and business agility. He enjoys research and learning about business agility and working with cutting-edge technologies. He has been learning continuously for more than 12 years and is still learning new ways to foster enterprise agility and team greatness. He has worked in several roles (developer, tester, IT program manager, Software engineering in Test manager, QA manager, agile coach) which helps him to see the big picture and operational and team members dynamics happening inside organizations. This experience lets him help teams design, build, and implement digital, DevOps and agile transformation strategies. He encourages focus on: People, Productivity, Continuous improvement, Innovation and having fun to enjoy success in our agile journeys.
Jorge has been a speaker in Agile and DevOps events organized in Peru, Canada, UK, Netherlands, India, Germany, Mexico, Colombia, Nigeria, Panama, Azerbaijan, Australia, US among other countries."
,confirmed,Justin Garrison,,,,Sidero Labs,Justin Garrison.png,https://www.linkedin.com/in/justingarrison/,,@rothgar,,Declarative Linux with the Common Operating System Interface,We run declarative systems built on top of an imperative operating system. It’s time we simplified our interface for Linux with a declarative API.,,"Justin is the director of developer relations at Sidero Labs. He helps companies simplify their Kubernetes and Linux infrastructure. He previously helped create Oscar winning movies at Disney, built infrastructure for Disney+, and improved Amazon EKS as part of the product team. In his spare time he builds modern-retro computers and streams Moana on repeat."
,confirmed,Marcin Szymaniuk,,,,TantusData,Marcin Szymaniuk.png,https://www.linkedin.com/in/marcin-szymaniuk/,,,,"ChatGPT, LLMs, and LangChains - A Beginner's Guide","Would you like to do something more than just create prompts for ChatGPT? How about building an application? An application that utilises the power of generative AI. From scratch! All you need is Python knowledge, your laptop, and an open mind.
We will cover the tricky bits and pitfalls as well!",,"Specialising in monetising big data for clients since the 07's, Marcin is leading a team of seasoned data engineers specialised in everything data: Data Engineering, ML, ML-ops, and Cloud. Marcin is an expert in non-standard issues and those more run-down-the-mill that must be solved quickly and conveniently. His experience spans industries and various project sizes. But his speciality remains the area of AI, Ml and deployment. Marcin's professional journey boasts collaborations with industry titans such as Apple, Spotify and Telia, as well as, nurturing startups. Such rich expertise makes him an excellent speaker."
,confirmed,Marcos Diez,,,,Modus Create,Marcos Diez.png,,,,,"Kubernetes, AWS, ALBs, Terraform and no Helm!","You will see the advantages of using the k8s provider for terraform instead of helm to manage the k8s objects (""yamls""). It allows you to see and confirm exactly what changes will happen in your cluster. Later we'll see how to integrate that with the AWS ALB and forward traffic directly to pods.",,"Bachelor in Computer Science, open source developer (some apps with more than 100k downloads), has experience working in Germany, Switzerland and United States, AWS Certified and currently working full time as DevOps. I have a reasonable number of open source contributions, including more than 20 to the k8s dashboard, 
ansible, terraform, AWS Load Balancer Controller for k8s, minikube and fluentd."
,confirmed,Matteo Bianchi,,,,Omnistrate,Matteo Bianchi.png,https://www.linkedin.com/in/mbianchidev/,,,,"Oops, I deployed too hard","Sometimes you delete production, you drop tables, you change a conf and everything breaks but what if you upgraded the wrong environment, to the wrong version, of the wrong customer (that also happens to be the bigger your company has)?

And what if you did it right before going to a long lunch?

This is a tale of compliance, regulations, unauthorized deployments and ethical questions!
Solved more through diplomacy than with coding.
Memes included*",,
,confirmed,Michael Cote,,,,VMware / Pivotal,Michael Cote.png,https://www.linkedin.com/in/michaelcote/,,cote,,Developer productivity is waste,"We're developer productivity obsessed, worse, developer productivity METRICS obsessed. Deployment frequency! MTTR! eNPS! It's become a delightful distraction. Besides, who really benefits from this focus? This talk makes the case that we should focus more on actual craft and less on metrics.",,"[Michael Coté](https://cote.io/) studies how large organizations get better at building software to run better and grow their business. His [books](https://cote.io/books/) [_Changing Mindsets_](https://www.oreilly.com/library/view/changing-mindsets-the/9781098105839/?utm_source=cote&utm_campaign=devrel&utm_content=bioblock), [_Monolithic Transformation_](https://tanzu.vmware.com/content/ebooks/monolithic-transformation?utm_source=cote&utm_campaign=devrel&utm_content=bioblock), and [_The Business Bottleneck_](https://content.pivotal.io/ebooks/the-business-bottleneck?utm_source=cote&utm_campaign=devrel&utm_content=bioblock)_ cover these topics. He's been an industry analyst at RedMonk and 451 Research, done corporate strategy and M&A, and was a programmer. He also co-hosts several podcasts, including [Software Defined Talk](https://www.softwaredefinedtalk.com/). His daily-ish newsletter is at [newsletter.cote.io](https://newsletter.cote.io/)."
,confirmed,Nishkarsh Raj,,,,StatusNeo,Nishkarsh Raj.png,https://www.linkedin.com/in/nishkarshraj/,,@NishkarshRaj1,,Accelerating Developer Experience with Backstage,"The session would focus on the importance of Engineering Portals to accelerate Developer Experience by letting them ""Create"" Reusable Patterns, ""Manage"" their software catalog in a centralized inventory, and  ""Explore"" the software ecosystem in a unified Single Pane of Glass.",,"Nishkarsh is a DevSecOps expert and an International GitHub Star. Nishkarsh is an ardent supporter of open-source, GitHub, DevEx, and DevOps. Nishkarsh serves as StatusNeo Inc.'s Principal Evangelist & Consultant. Over the years, he has been actively GitHubbing and contributing to open-source. By giving talks at conferences, organizing meetups, and encouraging people to take on the #100DaysofCode challenge, he has encouraged many brilliant minds to embark on their journeys in open-source projects and preach the significance of collaboration to aspiring developers."
,confirmed,Oleg Fatkhiev,,,,,Oleg Fatkhiev.png,https://www.linkedin.com/in/ofats/,,,,Config files vs. flags: story of pain,"Have you encountered a project where every single app reads a config file on startup? Have you struggled to find those files or change them?

Did you feel that there is something off with this approach?

Look no further! We will discuss when flags can solve all of these issues (and when they can't).",,I'm Oleg. I like memes.
,confirmed,Ondrej Babec,Jiri Novotny,,,Red Hat,Ondrej Babec & Jiri Novotny.png,https://www.linkedin.com/in/ondrej-babec/,https://www.linkedin.com/in/ji%C5%99%C3%AD-novotn%C3%BD-294915202/,@OBabec,,Debezium Server - New CDC runtime on the horizon!,Discover Debezium: Real-time database change streaming made seamless. Say goodbye to vendor lock-in with the innovative Debezium Server. Learn about parallelization and Kubernetes deployment using the Debezium Operator and supercharge your application performance.,,"# About me

My name is Ondrej, and I am passionate about almost everything related to IT. I spend most of my free time watching, fixing, or driving cars, so we will have a lot to talk about if you are a car or bike person.

Besides that, I have a beard and am pretty tall, so I suppose I am easy to find. I am open to conversing with anyone, learning something new, or giving anybody some advice.

## Career
I have been working in **Red Hat** as a Senior Quality Engineer and Team Lead for almost 6 years now on various projects: 
* Enmasse 
* PatrIoT 
* Apicurio Registry
* Debezium

Currently, I have two main projects that I am interested in:
* **[Debezium project](https://github.com/debezium)**, which I find very interesting, and I love working with the whole community around it. 
* **[Skodjob project](https://github.com/skodjob)**: this project was created some years ago by my colleagues David Kornel and Jakub Stejskal. It contains various tooling for long-running test environments on the Openshift environment and database performance tooling.

Other than that, I am still trying to find time to work on some of my older projects, like Rust MQTT, the first Async Rust MQTT client for embedded devices at the time."
,confirmed,Ricardo Castro,,,,FanDuel/Blip.pt,Ricardo Castro.png,https://www.linkedin.com/in/mccricardo/,,@mccricardo,,DevOps Is Not Dead. Not Not by a Long Shot,"DevOps is not a trend that has come and gone. It's a cultural shift that has fundamentally changed how software is developed and deployed. While emerging practices like Platform Engineering may seem to be taking over, they are not meant to replace DevOps; instead, they are complementary to it.",,"Principal Engineer, SRE at FanDuel/Blip.pt. MSc in Computer Science by the University of Porto. CK{AD, A, S} by Cloud Native Computing Foundation (CNCF) | Linux Foundation. {Terraform, Consul, Vault} Associate by HashiCorp. Working daily to build high-performance, reliable and scalable systems. DevOps Porto meetup co-organizer and DevOpsDays Portugal co-organizer. A strong believer in culture and teamwork. Open source passionate, martial arts amateur, and metal lover."
,confirmed,Richard Finlay Tweed,,,,Thought Machine,Richard Finlay Tweed.png,https://www.linkedin.com/in/richardftweed/,,,,"Using, and mis-using Kubernetes Dynamic Admission Control","Kubernetes Dynamic Admission control can be used for advanced validation and error correction of workloads. 
If you've ever wanted to make sure workloads in your clusters are conforming to security best practices, this talk will show you how!",,"Richard Tweed is a Kubernetes specialist at Thought Machine. Over the last five years he has been ensuring security, scalability and compliance across all major Kubernetes cloud platforms. He's also the lead maintainer of kube-audit-rest"
,confirmed,Simon Hanmer,Ross Walker,,,GlobalLogic,Simon Hanmer & Ross Walker.png,https://www.linkedin.com/in/simonhanmer/,https://www.linkedin.com/in/ross-walker-4b1653163/,@simonhanmer,,Mystery of the disappearing S3 Keys,"Imagine a system designed to process millions of events per day, but as use grows, data mysteriously seems to disappear, only to re-appear later. We’ll talk about the what, why and how we investigated the symptoms, overturned some assumptions and finally delivered a resilient, serverless solution",,"Starting out in a very traditional background in the data-centres of the fabled M4 corridor, Simon eventually realised it was time to give up on the problems of manually babysitting servers, racks and UPS's and migrated to the Cloud (and in the process, the Scottish Highlands) and now works to enable clients to transition their workloads, processes and swag requirements to the same route.

Simon is a member of the AWS Community builder program, and these days enjoys coaching and mentoring as much as get hands-on with code, automation and head-scratching."
,confirmed,Wilfried Roset,,,,OVHcloud,Wilfried Roset.png,https://www.linkedin.com/in/wilfriedroset,,,,Improving the efficiency of more than 800 databases with observability: 4 years later,The presentation explores how observability can improve service quality down to the database level. The speaker will discuss how OVHcloud refined the efficiency of their information system databases. The talk shares a recipe for getting the most out of your DBMS and how to get rid of slow queries.,,"In his position as the leader of a SRE team, Wilfried focuses on prioritizing sustainability, resilience, and industrialization to guarantee customer satisfaction."
,confirmed,Yusuf Tayman,,,,OpenPayd,Yusuf Tayman.png,https://www.linkedin.com/in/yusuftayman/,,@yusuftayman,,"Chaos as an Art: Crafting Chaos, Creating Order","Imagine a canvas where chaos reigns supreme, but in its depths a jaw-dropping order emerges. Witness chaos transformed into art and order into a masterpiece. In this talk, we will explore how to organise chaos in a controlled manner and create chaos scenarios with k6 fault injection.",,"I'm a Lead QA Engineer at OpenPayd, and I've been rocking the testing area for six awesome years. My main game? Nailing observability and automation. I've weaved automated testing into our processes, making things faster and minimizing the room for the human fallibility factor. It's all about achieving optimal outcomes. Besides, I'm all about building systems that give us the lowdown on our apps' behaviour. It's like having a superpower to spot and fix issues in no time. When I'm not diving into the testing quests, I'm a lifelong learner who loves teaming up with others. Tackling challenges together and sharing knowledge is my kind of fun."
,confirmed,Mateusz Zaremba,Krzysztof Wilczynski,,,AWS,Mateusz Zaremba & Krzysztof Wilczynski.png,https://www.linkedin.com/in/mateusz-zaremba/,https://www.linkedin.com/in/3sztof/,,,"Cloud Development Kit: Less Code, Better Infrastructure","Join our session led by AWS DevOps experts! Dive deep into Infrastructure as Code, focusing on AWS CDK. Write less code, ensure consistency, reuse components, and stay in your IDE. Perfect for developers simplifying infrastructure management",,"Mateusz is a seasoned professional with a diverse background in technology. He is a DevOps Architect with AI/ML background. His expertise lies at the intersection of ML and DevOps, specializing in crafting robust infrastructures for AI/ML applications in the cloud, particularly within the automotive sector. Prior to this, Mateusz honed his skills as a full-stack developer, proficient in Django and React. Beyond tech, he brings a unique perspective as an aerospace engineer and avid sailor. This rich blend of skills and experiences empowers Mateusz to drive innovation and efficiency in the ever-evolving tech landscape."
,confirmed,Steve Wade,,,,Steven Wade Consulting,Steve Wade.png,https://www.linkedin.com/in/stevendavidwade/,,@swade1987,,From free-kicks to git commits,"Join me as I transition from football to tech, focusing on Kubernetes. Learn how teamwork, discipline, and strategy from sports influenced my tech career. Discover my journey into building developer platforms and the parallels between leading a sports team and orchestrating cloud-native environments",,"Steve Wade was one of the founding engineers at KSOC, a Kubernetes security startup. Before his current role, Steve held Platform leadership roles at UnderWrite Me and Mettle. During these roles, he leveraged the concept of GitOps to provide self-service platforms to developers. He has also provided Kubernetes consultancy and training worldwide as a Consultant at Apprenda. Steve has served in leadership roles across many verticals, including real estate, gaming, and the UK parliament. Steve has a BSc in Computer Science and is passionate about cloud-native software development and distributed computing. He can be found as @swade1987 on Twitter and GitHub."
